date,unit_nav,cumulative_nav,adjusted_nav,change_pct,id,fid,source,insert_date
2026-06-26,1.692,1.824,1.8659808,0.11834320000000001,77935471,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-06-18,1.69,1.822,1.86377515,5.49313358,77935470,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-06-12,1.602,1.734,1.7667265,-1.41538462,77935469,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-06-05,1.625,1.757,1.79209149,0.18495683999999998,77935468,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-05-29,1.622,1.754,1.78878301,-0.7343941199999999,77935467,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-05-22,1.634,1.766,1.80201692,0.30693677,77935466,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-05-15,1.629,1.761,1.79650279,1.55860349,77935465,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-05-08,1.604,1.736,1.76893215,3.21750322,77935464,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-04-30,1.554,1.686,1.71379087,0.3875969,77935463,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-04-24,1.548,1.68,1.70717392,0.51948052,77935462,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-04-17,1.54,1.672,1.69835132,3.7735849100000003,77935461,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-04-10,1.484,1.616,1.63659309,0.40595399,77935460,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-04-03,1.478,1.61,1.62997613,-1.26920508,77935459,1efcf35e914e1b54,10,2026-06-30 11:05:18
2026-03-27,1.497,1.629,1.65092982,0.87601078,77935458,1efcf35e914e1b54,10,2026-06-30 11:05:17
2026-03-20,1.484,1.616,1.63659309,-1.46082337,77935457,1efcf35e914e1b54,10,2026-06-30 11:05:17
2026-03-13,1.506,1.638,1.66085525,-2.71317829,77935456,1efcf35e914e1b54,10,2026-06-30 11:05:17
2026-03-06,1.548,1.68,1.70717392,2.04350692,77935455,1efcf35e914e1b54,10,2026-06-30 11:05:17
2026-02-27,1.517,1.649,1.67298633,1.60750167,77935454,1efcf35e914e1b54,10,2026-06-30 11:05:17
2026-02-13,1.493,1.625,1.64651852,-0.8632138100000001,77935453,1efcf35e914e1b54,10,2026-06-30 11:05:17
